# Program:featureCounts v2.0.3; Command:"featureCounts" "-t" "exon" "-g" "Parent" "-O" "-M" "-a" "references/crassa/2489.all.withOrthoID.gff" "-o" "counts/crassa.featureCounts.tsv" "bams/crassa/SRR4448063.sam" "bams/crassa/SRR4448064.sam" "bams/crassa/SRR751454.cutadapt.sam" "bams/crassa/SRR755946.cutadapt.sam" "bams/crassa/SRR756251.cutadapt.sam" "bams/crassa/SRR756354.cutadapt.sam" "bams/crassa/SRR769610.sam" "bams/crassa/SRR769748.sam" 
Geneid	Chr	Start	End	Strand	Length	bams/crassa/SRR4448063.sam	bams/crassa/SRR4448064.sam	bams/crassa/SRR751454.cutadapt.sam	bams/crassa/SRR755946.cutadapt.sam	bams/crassa/SRR756251.cutadapt.sam	bams/crassa/SRR756354.cutadapt.sam	bams/crassa/SRR769610.sam	bams/crassa/SRR769748.sam
transcript:EAA35996	I	257493	259361	+	1869	32	30	66	4352	2034	991	0	0
transcript:NCU15002-1	I	260802	260909	+	108	0	0	24	800	340	173	0	0
transcript:NCU15003-1	I	261512	261618	+	107	2	0	11	997	550	220	0	0
transcript:EAA35997	I	262020	263387	-	1368	13	12	48	5543	2241	1952	0	0
transcript:EAA35998	I	264036	265388	-	1353	23	11	84	8289	2609	7511	0	0
transcript:EAA34599	I;I	291633;292700	292267;292877	+;+	813	38	23	1	34	19	12	0	0
transcript:EAA34600	I	293167	294573	+	1407	14	11	2	64	28	25	0	0
transcript:EAA34601	I	296499	297770	-	1272	21	11	11	2585	882	460	0	0
transcript:EAA34603	I	302353	303729	+	1377	6	13	52	4025	847	654	0	0
transcript:EAA34604	I;I	305342;306102	305993;308567	-;-	3118	157	96	5	252	257	181	0	0
transcript:EAA34605	I;I	309019;310330	310273;310364	+;+	1290	47	31	3	81	60	41	0	0
transcript:EAA34606	I;I;I;I	311541;312429;312557;313267	312376;312492;313126;313460	+;+;+;+	1664	24	22	0	60	42	41	0	0
transcript:EAA34607	I;I	313930;314779	314273;315269	+;+	835	13	8	0	53	31	16	0	0
transcript:EAA34637	I;I;I;I	318873;319505;320676;320860	319440;320606;320801;321079	-;-;-;-	2016	28	13	1	113	89	43	0	0
transcript:EAA34638	I	325003	328569	+	3567	80	54	1	259	214	133	0	0
transcript:EAA34639	I	328658	330088	-	1431	32	17	16	2248	1094	527	0	0
transcript:EAA34640	I;I;I	332175;333091;334398	332937;334260;334731	-;-;-	2267	24	33	7	1268	668	283	0	0
transcript:EAA34641	I;I	335202;339012	338935;339433	-;-	4156	235	99	11	569	555	311	0	0
transcript:EAA34642	I;I;I	340059;340349;343004	340213;342693;343487	+;+;+	2984	119	94	3	303	266	165	1	0
transcript:EAA34643	I;I	343608;344695	344614;345535	-;-	1848	126	99	1	166	107	80	0	0
transcript:EAA34644	I	345768	347031	+	1264	28	31	3	267	108	142	0	0
transcript:ESA43756	I;I;I	348246;350032;350926	349972;350778;352922	-;-;-	4471	182	196	13	765	819	482	1	0
transcript:ESA43755	I;I;I	348392;350032;350926	349972;350778;352922	-;-;-	4325	181	196	13	763	818	478	1	0
transcript:ESA43757	I;I;I	349128;350032;350863	349972;350778;351481	-;-;-	2211	111	106	9	472	557	294	1	0
transcript:ESA43758	I;I;I;I	351913;352153;352625;353136	352041;352244;352794;353209	+;+;+;+	465	16	28	0	68	44	47	0	0
transcript:EAA35820	I;I	356403;356923	356854;357891	+;+	1421	2922	3476	3	648	302	205	0	0
transcript:EAA35819	I;I;I;I;I	359462;359850;360492;360801;360884	359779;360419;360738;360828;361343	+;+;+;+;+	1623	16	19	0	81	55	70	0	1
transcript:ESA43759	I;I;I;I	363634;363870;364373;365990	363792;364299;365794;366043	-;-;-;-	2065	31	18	3	90	111	71	5	3
transcript:ESA43761	I;I	366915;367224	367157;367463	-;-	483	2	5	0	20	8	8	0	0
transcript:ESA43760	I;I	367034;367224	367157;367336	-;-	237	2	3	0	16	7	5	0	0
transcript:ESA43763	I;I	367975;369043	368975;369298	+;+	1257	45	23	2	238	197	166	0	0
transcript:ESA43762	I;I;I	368005;368254;369043	368193;368975;369313	+;+;+	1182	45	24	2	240	196	167	0	0
transcript:EAA35816	I;I;I;I	377665;379166;379361;379748	379100;379296;379669;380825	-;-;-;-	2954	91	56	7	290	178	204	0	0
transcript:EAA35815	I;I;I	381418;383466;383544	383391;383471;384072	-;-;-	2509	140	83	26	311	270	231	1	0
transcript:EAA35814	I;I	386939;388346	387865;388761	-;-	1343	36	49	2	92	62	57	0	0
transcript:EAA35813	I;I	388864;390483	390400;392501	+;+	3556	68	61	15	970	646	371	0	0
transcript:NCU15004-1	I	393034	393131	+	98	12767	21089	3	7238	3139	2293	3	0
transcript:EAA35812	I;I;I	393677;394185;394592	394128;394515;395053	-;-;-	1245	11	30	34	2396	898	2224	0	0
transcript:EAA35811	I;I;I;I	397225;397716;397948;398177	397644;397885;398117;398634	+;+;+;+	1218	16	40	212	16056	5498	14425	0	0
transcript:EAA35810	I;I;I	400255;400593;400837	400521;400765;401476	+;+;+	1080	21	21	80	18234	6002	18251	0	0
transcript:EAA35809	I	402099	406298	-	4200	91	122	3	284	216	159	0	0
transcript:EAA35808	I;I	406510;407060	406950;408008	+;+	1390	25	36	2	74	31	28	0	0
transcript:EAA35807	I;I;I	408524;411304;414982	410715;414216;415263	-;-;-	5387	127	168	7	355	253	178	0	0
transcript:EAA35806	I;I;I	417352;417936;418329	417860;418262;419464	+;+;+	1972	141	82	4	387	326	201	0	0
transcript:NCU15005-1	I	420030	420109	-	80	877	2248	0	1667	697	559	1	0
transcript:EAA35805	I;I	420177;420505	420425;421612	+;+	1357	31	25	1	93	48	50	0	0
transcript:EAA35804	I	421557	423435	-	1879	166	85	4	106	106	67	0	0
transcript:EAA35803	I;I	423885;427786	427659;427947	-;-	3937	111	86	2	266	222	144	0	0
transcript:EAA35802	I	429105	431229	-	2125	238	430	10	938	647	388	1	1
transcript:ESA43765	I;I;I	437279;440381;440589	440326;440533;441935	+;+;+	4548	342	204	37	1301	1129	754	0	1
transcript:ESA43764	I;I;I	438225;440381;440589	440326;440533;441935	+;+;+	3602	310	177	37	1128	964	629	0	1
transcript:ESA43766	I	441089	441910	-	822	51	31	21	241	199	138	0	0
transcript:NCU15006-1	I	442100	442171	+	72	668	718	20	1177	593	496	36	28
transcript:EAA35798	I;I;I;I;I	448859;449122;449305;449617;449895	449068;449247;449563;449836;451692	+;+;+;+;+	2613	28	31	0	130	64	48	0	0
transcript:EAA35797	I	453919	454759	-	841	13	8	0	25	7	13	0	0
transcript:EAA35796	I	455182	456143	+	962	21	35	1	31	15	13	0	0
transcript:EAA35795	I;I;I;I;I;I;I	456742;456947;459042;459445;460324;460592;460792	456807;458953;459350;460200;460507;460718;461929	+;+;+;+;+;+;+	4587	96	198	10	385	765	367	1	0
transcript:EAA35794	I;I	464411;465030	464942;467155	+;+	2658	122	52	0	139	89	78	0	0
transcript:EAA35793	I;I	467141;468451	468324;469295	-;-	2029	41	21	2	114	92	87	0	0
transcript:EAA35792	I;I;I;I	474069;475012;475227;478106	474850;475166;478038;478709	+;+;+;+	4353	269	172	19	738	1079	516	0	0
transcript:EAA35791	I;I;I;I;I;I;I;I;I	479576;479882;480072;480385;481079;481363;481541;481895;482114	479712;480018;480215;480908;481163;481460;481680;481931;482143	-;-;-;-;-;-;-;-;-	1332	33	22	3	125	53	52	0	0
transcript:EAA34537	I;I;I;I;I;I;I;I	486622;486832;487178;487914;488324;489061;490295;490398	486746;486862;487792;488272;488401;490174;490336;490547	-;-;-;-;-;-;-;-	2514	24	29	4	165	73	76	0	0
transcript:EAA34536	I	491366	493798	-	2433	40	33	4	142	120	67	0	0
transcript:EAA34535	I;I	494638;498435	498330;499251	-;-	4510	92	59	23	2051	1515	1422	2	1
transcript:EAA34534	I;I	502478;504560	504494;504670	-;-	2128	59	39	14	877	428	437	0	0
transcript:EAA34518	I;I;I	507934;508434;508744	508341;508679;509018	-;-;-	929	13	32	0	59	31	44	0	0
transcript:EAA34517	I;I	512384;512969	512895;513927	-;-	1471	24	41	0	127	93	60	0	0
transcript:EAA34516	I;I;I	514506;516836;517925	516777;517861;519273	-;-;-	4647	276	376	14	613	552	311	1	0
transcript:EAA34515	I;I;I	519493;520965;521485	520908;521414;521645	-;-;-	2027	78	94	0	127	68	58	0	0
transcript:EAA34514	I;I;I	521932;522411;522996	522200;522853;523738	+;+;+	1455	107	49	0	108	102	68	0	0
transcript:EAA34683	I;I;I	530629;531714;532131	531606;532014;533414	+;+;+	2563	334	136	3	369	339	218	1	1
transcript:ESA43767	I;I	535655;536532	536446;538185	+;+	2446	97	57	3	261	233	146	0	0
transcript:ESA43768	I;I	536262;536532	536446;538185	+;+	1839	93	55	3	236	219	136	0	0
transcript:EAA34681	I;I	537096;538471	538352;538676	-;-	1463	64	32	2	172	149	100	0	0
transcript:ESA43769	I;I	539196;540410	540343;541680	+;+	2419	228	162	8	539	526	328	2	0
transcript:ESA43770	I;I	539301;540410	540343;541680	+;+	2314	227	162	8	535	521	327	2	0
transcript:EAA34679	I;I	541586;541829	541743;543147	-;-	1477	21	13	2	161	114	72	0	0
transcript:EAA34678	I;I	543682;543942	543860;546443	+;+	2681	16	17	2	194	127	128	0	0
transcript:EAA34677	I;I;I	547790;548319;548706	547990;548636;548753	-;-;-	567	8	3	1	56	100	11	0	0
transcript:EAA34676	I	549633	552479	-	2847	50	22	2	117	103	87	0	0
transcript:EAA34675	I;I;I	552868;554251;554433	554187;554362;555385	+;+;+	2385	74	45	2	178	189	130	0	0
transcript:EAA34674	I;I;I;I;I	555964;556399;556526;556772;557175	556313;556412;556655;557103;558250	+;+;+;+;+	1902	215	82	4	475	314	413	0	0
transcript:ESA43771	I;I	559256;560330	560218;560671	-;-	1305	77	16	21	478	318	221	0	0
transcript:EAA34673	I;I	560708;561916	561847;562798	-;-	2023	288	62	8	515	507	302	0	0
transcript:EAA34672	I	563726	566109	+	2384	53	39	1	450	299	176	0	0
transcript:EAA34671	I;I	565191;567043	566899;567401	-;-	2068	70	46	0	401	275	143	0	1
transcript:EAA35406	I	568088	569942	+	1855	28	28	0	80	50	60	0	0
transcript:EAA35405	I;I	570732;571641	571565;573135	-;-	2329	73	73	1	126	101	56	1	0
transcript:EAA35404	I;I	574311;574801	574716;576289	+;+	1895	150	58	11	1212	780	382	0	0
transcript:EAA35403	I	576062	577864	-	1803	123	33	2	158	136	77	0	0
transcript:EAA35402	I;I;I;I	578783;580025;580294;581204	579960;580226;580987;581444	-;-;-;-	2315	112	89	7	285	327	186	0	0
transcript:EAA35401	I;I	582488;582578	582513;583595	+;+	1044	19	12	1	251	143	150	0	0
transcript:EAA35400	I;I;I	584437;584895;585193	584611;585057;585580	+;+;+	726	7	22	705	25601	15759	11937	15	10
transcript:EAA35399	I;I	587090;588511	588366;588592	+;+	1359	14	6	12	548	357	296	0	0
transcript:EAA35398	I;I	593883;596107	596037;596976	-;-	3025	101	44	1	324	264	204	1	0
transcript:ESA43772	I;I;I	597623;598264;598860	598183;598772;600826	+;+;+	3037	123	87	4	720	476	322	0	0
transcript:ESA43773	I;I	597822;598264	598183;599464	+;+	1563	94	63	2	298	301	182	0	0
transcript:EAA35396	I	599620	602122	-	2503	70	42	3	487	238	160	0	0
transcript:EAA35394	I;I;I	608824;610182;613417	610016;613357;615081	+;+;+	6034	690	428	44	2182	2676	1274	0	3
transcript:EAA35393	I;I;I	615714;616029;616846	615945;616777;618210	+;+;+	2346	183	115	5	203	177	127	0	0
transcript:EAA35392	I;I	620563;621028	620918;621595	+;+	924	33	154	0	228	168	122	0	0
transcript:EAA35391	I;I	621601;624762	624688;624990	-;-	3317	75	52	9	307	249	177	0	1
transcript:EAA35390	I;I	625039;625526	625443;625986	+;+	866	115	227	29	499	513	321	0	0
transcript:EAA35389	I;I;I	626352;627419;629165	627362;629087;629587	+;+;+	3103	122	73	15	376	259	214	0	0
transcript:EAA35388	I;I;I;I;I	630033;631343;631577;631764;632008	631260;631500;631626;631804;632301	-;-;-;-;-	1771	799	308	2	618	632	366	0	0
transcript:EAA35387	I	632558	634077	+	1520	32	16	2	69	44	41	0	0
transcript:EAA35386	I;I	634194;634718	634646;636325	+;+	2061	137	53	10	250	265	138	1	0
transcript:EAA35385	I	636650	638312	+	1663	29	12	0	41	22	24	0	0
transcript:EAA35384	I;I	638340;639522	639410;642524	-;-	4074	73	38	5	169	123	81	0	0
transcript:NCU15601-1	I	643277	643375	+	99	222	141	0	3790	2122	1363	0	0
transcript:EAA35383	I;I;I	644063;645084;645388	645023;645316;646234	-;-;-	2041	109	113	9	257	576	204	0	0
transcript:EAA35381	I;I;I	652513;653932;654124	653794;654066;655451	+;+;+	2745	203	95	7	400	396	238	0	0
transcript:EAA35380	I;I;I;I	658020;658446;658690;658770	658364;658618;658712;658981	-;-;-;-	753	8	3	0	28	25	14	0	0
transcript:EAA35379	I;I	661989;662903	662846;663664	-;-	1620	66	57	6	213	208	112	1	1
transcript:EAA35378	I;I	666139;666465	666360;666602	+;+	360	5	4	2	33	22	18	0	0
transcript:EAA30216	I;I	698409;699010	698940;700075	-;-	1598	28	20	6	317	215	175	0	1
transcript:ESA43775	I;I	710761;711562	711493;713532	-;-	2704	58	36	13	907	1046	482	0	0
transcript:ESA43774	I;I	710761;711562	711493;713665	-;-	2837	60	37	13	912	1046	486	0	0
transcript:EAA30218	I;I	716981;718399	718324;719354	-;-	2300	156	112	25	1652	1390	934	1	0
transcript:EAA34556	I;I;I;I;I	720670;720981;721366;723181;723964	720899;721310;723119;723903;724628	-;-;-;-;-	3702	46	28	2	228	179	140	0	0
transcript:EAA34557	I;I;I;I;I	726288;727978;728924;729050;729850	727917;728868;728996;729785;730970	+;+;+;+;+	4451	128	81	11	399	431	232	0	0
transcript:ESA43776	I	739987	740998	-	1012	30	35	2	139	148	78	0	0
transcript:EAA34560	I;I;I	741884;743370;743827	743270;743748;746951	+;+;+	4891	712	443	37	1356	1427	813	0	0
transcript:ESA43777	I;I	747758;749170	748971;750052	-;-	2097	56	78	7	195	332	136	1	0
transcript:ESA43778	I;I	747758;749170	748971;750244	-;-	2289	60	80	7	217	384	149	1	0
transcript:EAA35651	I;I	750264;752368	752283;752527	-;-	2180	42	51	7	267	279	205	0	0
transcript:EAA35652	I;I;I	753028;754592;755689	754541;755630;756753	+;+;+	3618	207	131	6	612	715	415	0	0
transcript:EAA35653	I;I	758474;758796	758711;759986	+;+	1429	13	19	36	916	761	618	2	0
transcript:EDO64957	I;I;I	761516;761823;762225	761695;761935;762264	-;-;-	333	5	1	0	20	19	13	0	0
transcript:EAA35654	I	763687	765163	+	1477	13	23	1	66	30	35	0	0
transcript:EAA35655	I	764870	766051	-	1182	18	15	1	118	67	61	0	0
transcript:EAA35656	I	766238	767152	-	915	13	23	0	57	22	30	0	0
transcript:EAA35657	I;I;I;I;I	767193;767874;768187;768601;769755	767820;768131;768547;769011;770372	-;-;-;-;-	2276	374	314	10	567	484	326	0	1
transcript:EAA35658	I;I	770678;771502	771409;772001	+;+	1232	60	43	0	73	58	42	0	0
transcript:EAA35659	I;I;I	771965;772478;772929	772309;772599;773374	-;-;-	913	19	4	1	44	25	17	0	0
transcript:ESA43781	I;I;I;I;I	774193;775449;776990;777528;777682	775374;776931;777425;777568;780044	-;-;-;-;-	5505	693	600	36	1984	1958	1118	3	3
transcript:ESA43779	I;I;I;I;I	774193;776990;777528;777682;778355	776931;777425;777568;777802;780044	-;-;-;-;-	5027	669	589	37	1962	1961	1114	3	3
transcript:ESA43780	I;I;I;I	775272;776990;777528;777682	776931;777425;777568;777839	-;-;-;-	2295	330	214	21	1077	1003	623	1	0
transcript:EAA35661	I	791939	792235	-	297	2	6	0	177	71	57	0	0
transcript:EAA35662	I	793682	794386	+	705	8	8	240	12976	4361	2975	1	0
transcript:EAA35663	I;I;I	798219;798488;798760	798331;798588;798824	-;-;-	279	5	5	1	73	50	49	0	0
transcript:EAA35665	I;I	804397;805080	804676;805159	+;+	360	4	13	0	49	35	24	0	0
transcript:NCU14002-1	I;I;I	805926;806281;806544	806219;806460;806591	-;-;-	522	31	63	0	72	48	21	0	0
transcript:EAA35666	I;I	808582;809552	809493;811110	+;+	2471	937	1165	24	2012	1835	1173	3	2
transcript:ESA43782	I	810666	812203	+	1538	380	753	13	1014	1070	593	1	0
transcript:EAA35668	I;I	815349;818044	817974;818956	-;-	3539	59	235	10	580	461	350	0	0
transcript:EAA35669	I	819221	821372	-	2152	121	129	5	438	348	254	0	1
transcript:ESA43783	I;I;I;I	821652;821897;822129;822377	821800;821910;822259;823194	+;+;+;+	1112	413	347	5	612	688	375	0	2
transcript:ESA43784	I;I;I;I	821655;821897;822129;822377	821800;821910;822259;823144	+;+;+;+	1059	413	347	5	602	683	373	0	2
transcript:ESA43785	I;I;I;I	823210;823939;824800;825055	823751;824699;824852;826355	-;-;-;-	2657	87	98	2	259	171	112	0	0
transcript:ESA43786	I;I;I;I	823439;823939;824800;825055	823751;824699;824852;825250	-;-;-;-	1323	56	44	1	172	128	66	0	0
transcript:EAA35672	I;I;I	826647;827522;828216	827458;828150;829000	-;-;-	2226	114	62	3	239	182	117	0	0
transcript:EAA35673	I;I;I	829269;830208;831019	830054;830762;831784	+;+;+	2107	48	28	5	173	119	85	0	0
transcript:EAA35674	I;I;I	831803;833039;833538	832959;833479;834075	-;-;-	2136	32	21	5	381	411	277	0	0
transcript:ESA43788	I;I;I	836279;837431;837639	837362;837503;837803	-;-;-	1322	67	25	2	116	75	67	1	0
transcript:ESA43787	I;I;I	836281;837431;837639	837362;837503;837740	-;-;-	1257	67	25	2	99	65	58	1	0
transcript:EAA35676	I;I;I	837953;838217;838957	838158;838735;839866	+;+;+	1635	40	20	2	110	89	68	1	0
transcript:EAA35677	I;I	841866;843002	842600;843028	+;+	762	11	7	0	43	48	27	0	0
transcript:EAA35678	I;I;I	843475;845653;846202	845598;846147;847155	+;+;+	3573	184	123	43	1478	1776	1036	2	0
transcript:NCU15007-1	I	847426	847497	+	72	14	3	1	121	75	80	0	0
transcript:EAA35679	I;I;I	847805;849199;849486	849131;849410;849962	-;-;-	2016	33	30	2	226	228	171	0	0
transcript:EAA35680	I	851718	853021	+	1304	13	14	188	1525	2933	1488	0	1
transcript:EAA35681	I	853664	855156	-	1493	31	31	2	127	79	56	0	0
transcript:EAA35682	I;I	855455;857748	857685;858451	+;+	2935	170	104	2	463	445	239	1	0
transcript:EAA35683	I	858636	860920	+	2285	46	36	1	83	61	58	0	0
transcript:EAA35684	I;I;I;I;I	861000;861913;862328;862437;862763	861813;862253;862369;862643;863156	-;-;-;-;-	1798	30	27	2	71	58	37	0	0
transcript:EAA35685	I;I	863464;869993	869930;872329	-;-	8804	607	272	30	1406	1478	792	1	1
transcript:ESA43789	I;I;I	926376;926630;926855	926485;926750;927148	-;-;-	525	26	20	1	41	44	19	0	0
transcript:EAA35021	I	928570	930752	-	2183	163	256	23	1189	1081	560	0	1
transcript:NCU14003-1	I	937130	938177	+	1048	15	8	0	59	39	36	0	0
transcript:ESA43791	I;I	937786;939240	939170;943577	+;+	5723	2154	383	5	209	231	129	0	0
transcript:ESA43790	I;I	937786;939240	939170;943577	+;+	5723	2154	383	5	209	231	129	0	0
transcript:EAA35017	I;I;I	951198;951382;951550	951287;951457;951623	-;-;-	240	2	0	0	7	3	8	0	0
transcript:EAA35016	I	952310	955257	+	2948	201	62	5	167	167	79	0	0
